authorization_notice_id,filing_date,patentee,address,IPC
CN209092485U,2018-08,个人,吉林省,A
CN209099942U,2018-08,公司,广东省,E
CN209100364U,2018-08,公司,广东省,F
CN209091265U,2018-08,研究所,广东省,A
CN209093843U,2018-08,公司,河南省,B
CN209095766U,2018-08,公司,安徽省,B
CN209104949U,2018-08,公司,江苏省,H
CN209092866U,2018-08,公司,陕西省,B
CN209103567U,2018-08,研究所,山东省,G
CN209101923U,2018-08,研究所,江苏省,F
CN209097708U,2018-08,研究所,江苏省,B
CN209104166U,2018-08,研究所,浙江省,H
CN209104169U,2018-08,研究所,北京市,H
CN209091782U,2018-08,学校,云南省,A
CN209092561U,2018-08,个人,黑龙江省,A
CN209101464U,2018-08,公司,上海市,F
CN209098599U,2018-08,公司,甘肃省,C
CN209090571U,2018-08,公司,广东省,A
CN209099264U,2018-08,个人,山东省,E
CN209090633U,2018-08,公司,辽宁省,"['A', 'B']"
CN209099392U,2018-08,公司,浙江省,E
CN209096328U,2018-08,个人,吉林省,B
CN209096301U,2018-08,研究所,浙江省,B
CN209102242U,2018-08,公司,广东省,G
CN209096094U,2018-08,公司,安徽省,B
CN209096167U,2018-08,公司,浙江省,B
CN209096245U,2018-08,公司,安徽省,B
CN209101463U,2018-08,公司,上海市,F
CN209091185U,2018-08,公司,安徽省,A
CN209101696U,2018-08,公司,甘肃省,F
CN209095208U,2018-08,公司,山东省,B
CN209096162U,2018-08,公司,浙江省,B
CN209101653U,2018-08,公司,浙江省,F
CN209091929U,2018-08,公司,江西省,A
CN209090572U,2018-08,研究所,江苏省,A
CN209092454U,2018-08,学校,湖北省,A
CN209090132U,2018-08,个人,浙江省,A
CN209099466U,2018-08,公司,福建省,E
CN209095738U,2018-08,公司,江苏省,B
CN209103977U,2018-08,公司,湖南省,H
CN209091797U,2018-08,个人,江西省,A
CN209096334U,2018-07,个人,江苏省,B
CN209090927U,2018-08,公司,广东省,A
CN209090790U,2018-08,公司,广东省,A
CN209099635U,2018-08,公司,江西省,E
CN209098894U,2018-08,公司,浙江省,D
CN209092067U,2018-08,医院,江苏省,A
CN209093337U,2018-08,学校,广西壮族自治区,B
CN209099917U,2018-08,公司,山东省,E
CN209096642U,2018-08,公司,香港特别行政区,B
CN209090521U,2018-08,研究所,浙江省,A
CN209094738U,2018-08,公司,广东省,B
CN209090791U,2018-08,公司,广东省,A
CN209092411U,2018-08,研究所,江西省,A
CN209090611U,2018-08,公司,广东省,A
CN209099913U,2018-08,学校,辽宁省,E
CN209092790U,2018-08,个人,河北省,B
CN209093991U,2018-08,研究所,广东省,B
CN209090797U,2018-08,研究所,广东省,A
CN209089982U,2018-08,研究所,湖南省,A
CN209093772U,2018-08,学校,广东省,B
CN209094838U,2018-08,公司,江苏省,B
CN209104799U,2018-08,研究所,上海市,H
CN209089938U,2018-08,研究所,江西省,A
CN209097631U,2018-08,公司,天津市,B
CN209095423U,2018-08,研究所,山东省,B
CN209099221U,2018-08,公司,湖北省,E
CN209101135U,2018-08,研究所,广东省,F
CN209090606U,2018-08,研究所,上海市,A
CN209089825U,2018-08,研究所,河北省,A
CN209089827U,2018-08,研究所,河北省,A
CN209100729U,2018-08,公司,德国,F
CN209091102U,2018-08,公司,广东省,A
CN209091798U,2018-08,研究所,河南省,A
CN209098334U,2018-08,公司,广东省,C
CN209099558U,2018-08,公司,四川省,E
CN209090954U,2018-08,公司,浙江省,A
CN209099815U,2018-08,公司,广东省,E
CN209092376U,2018-08,学校,山东省,A
CN209090239U,2018-08,研究所,上海市,A
CN209095861U,2018-08,公司,安徽省,B
CN209090347U,2018-08,公司,浙江省,A
CN209100321U,2018-08,公司,浙江省,F
CN209090047U,2018-08,研究所,广东省,A
CN209097438U,2018-08,研究所,天津市,"['B', 'G']"
CN209093189U,2018-08,公司,江苏省,B
CN209100754U,2018-08,研究所,浙江省,F
CN209096195U,2018-08,公司,浙江省,B
CN209102645U,2018-08,研究所,江西省,G
CN209091430U,2018-08,个人,山东省,A
CN209095823U,2018-08,公司,江苏省,B
CN209089963U,2018-08,公司,云南省,A
CN209099939U,2018-08,学校,吉林省,E
CN209094272U,2018-08,公司,河南省,B
CN209090822U,2018-08,研究所,广东省,A
CN209091753U,2018-08,个人,湖北省,A
CN209090955U,2018-08,公司,广东省,A
CN209101605U,2018-08,研究所,上海市,F
CN209089918U,2018-08,公司,云南省,A
